"","011016B9B5","011016BF63","011016FE79","01101706AD","0110171671","01101736BA","0110173C26","01101747D3","0110174B57","0110175F3E","0700EE257D","0700EE315A","0700EE3187"
"2019-01-24",0,1,42,0,14,19,0,138,90,21,3,50,35
"2019-01-25",0,20,61,0,60,48,0,130,127,56,95,164,96
"2019-01-26",0,12,74,0,15,93,0,67,59,88,199,82,64
"2019-01-27",20,20,57,0,19,122,1,16,30,107,205,0,118
"2019-01-28",1,28,62,0,30,120,0,0,0,68,158,0,71
"2019-01-29",9,52,54,0,98,112,0,70,54,63,158,0,68
"2019-01-30",33,36,60,53,106,114,0,118,87,85,180,0,94
"2019-01-31",28,10,21,0,68,67,18,242,105,0,119,31,0
"2019-02-01",19,0,37,11,75,65,15,137,192,26,128,142,30
"2019-02-02",2,0,0,0,70,0,0,151,111,0,0,56,0
"2019-02-03",0,0,0,0,12,0,0,102,121,0,0,60,0
"2019-02-04",5,5,25,15,72,93,0,125,36,28,168,62,22
"2019-02-05",2,41,0,0,57,49,3,118,58,0,144,238,0
"2019-02-06",8,36,2,0,106,110,0,185,124,0,124,5,0
"2019-02-07",0,27,0,0,77,94,0,102,80,0,90,0,0
"2019-02-09",11,15,0,0,63,105,0,4,0,0,237,0,0
"2019-02-10",20,21,0,0,134,110,0,0,0,0,247,0,0
"2019-02-11",3,7,3,0,111,99,0,61,70,0,139,0,0
"2019-02-12",0,24,28,9,112,160,0,96,78,0,203,0,0
"2019-02-13",0,8,14,9,140,151,0,69,74,0,217,0,6
"2019-02-14",0,6,36,18,95,101,0,49,24,12,63,26,30
"2019-02-15",8,26,58,50,137,105,1,17,2,63,120,112,47
"2019-02-16",1,12,5,0,88,95,0,150,84,7,115,55,10
"2019-02-17",2,48,0,52,121,102,7,177,119,0,109,136,0
"2019-02-18",6,6,5,32,49,126,19,128,75,0,135,164,10
"2019-02-19",19,10,27,2,27,108,4,149,113,19,144,175,38
"2019-02-20",13,9,21,5,33,97,18,32,39,33,88,89,55
"2019-02-21",16,0,10,44,46,76,2,0,2,15,71,0,14
"2019-02-22",0,0,4,75,71,104,16,79,47,7,194,40,1
"2019-02-23",0,0,32,33,35,70,4,75,79,0,85,101,0
"2019-02-24",4,5,5,29,45,79,0,90,117,4,82,106,7
"2019-02-25",9,5,0,0,25,71,0,139,89,16,147,143,2
"2019-02-26",10,7,34,75,107,143,58,188,108,0,179,129,4
"2019-02-27",7,0,166,29,61,56,29,205,140,0,109,143,0
"2019-02-28",37,0,36,82,48,90,1,85,89,50,241,75,28
"2019-03-01",52,9,2,58,63,119,0,19,11,87,126,0,91
"2019-03-02",25,21,104,39,86,93,0,94,54,12,71,84,19
"2019-03-03",12,31,261,22,79,123,19,176,103,8,123,107,50
"2019-03-04",3,27,298,22,75,117,0,149,124,0,134,118,0
"2019-03-05",0,22,42,48,88,68,19,0,0,34,125,0,21
"2019-03-06",3,0,10,28,39,68,7,5,2,51,128,0,53
"2019-03-07",0,15,36,106,71,50,4,58,30,43,91,33,33
"2019-03-08",0,4,17,41,57,10,16,66,77,31,78,81,47
"2019-03-09",0,0,0,0,11,0,0,0,0,0,0,0,0
"2019-03-11",0,0,6,4,43,20,2,15,20,0,138,0,0
"2019-03-12",0,0,0,0,0,5,0,0,0,0,0,0,0
"2019-03-15",0,0,9,0,128,274,0,0,17,0,302,0,0
"2019-03-16",0,0,0,0,208,257,0,30,12,0,357,0,0
"2019-03-17",0,0,0,0,13,79,0,0,0,0,58,0,0
